awb,source,target,peso,pesotaxavel
118-11413791,LIS,LAD,411,411
047-05861940,LIS,RAI,29,29
118-11413802,LIS,LAD,1527,1527
047-05861951,LIS,VXE,105,105
047-05861962,LIS,SID,214,214
125-91962032,LIS,JNB,320,320
125-91962043,LIS,DTW,320,320
047-05861995,LIS,MPM,570,570
047-05862010,LIS,MPM,7,"15,41"
118-11413824,LIS,LAD,80,80
118-11413846,LIS,LAD,74,74
047-05862032,LIS,RAI,165,"239,65"
118-11413850,LIS,LAD,40,40
125-91962054,LIS,IAD,110,110
176-16453441,LIS,MFM,"5,5",48
020-98338203,LIS,CLE,3,"5,81"
118-11413861,LIS,LAD,887,887
047-05862102,LIS,RAI,68,68
235-78363154,LIS,ATL,950,"1517,33"
047-05862124,LIS,RAI,40,"48,75"
118-11413883,LIS,LAD,252,252
118-11413894,LIS,LAD,376,376
235-78363165,LIS,SIN,25,"27,63"
047-05862161,LIS,SID,2,2
075-46456491,LIS,EZE,176,176
118-11413916,LIS,LAD,2370,2370
047-05862183,LIS,RAI,16,16
118-11413920,LIS,LAD,388,388
118-11413986,LIS,LAD,58,58
118-11413964,LIS,LAD,141,"164,26"
235-78363176,LIS,KUL,58,58
047-05862242,LIS,VXE,"0,5","0,6"
047-05862275,LIS,MPM,3577,3577
047-05862286,LIS,YUL,7610,7610
047-05862301,LIS,RAI,12,12
118-11423510,LIS,LAD,138,176
118-11423532,LIS,LAD,1702,1702
118-11423543,LIS,LAD,107,"126,98"
235-78363213,LIS,KUL,64,"77,28"
118-11423565,LIS,LAD,346,346
615-05486460,LIS,GDL,256,"344,88"
118-11423591,LIS,LAD,185,203
118-11423624,LIS,LAD,10,10
